Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,12,Niki Lauda,Ferrari ,70,1:43'53.98,1,9
2,3,Jody Scheckter,Tyrrell-Ford,70,+ 19.22,9,6
3,7,Carlos Reutemann,Brabham-Ford,70,+ 41.82,6,4
4,4,Patrick Depailler,Tyrrell-Ford,70,+ 1'00.08,12,3
5,11,Clay Regazzoni,Ferrari ,70,+ 1'03.84,4,2
6,16,Tom Pryce,Shadow-Ford,70,+ 1'28.45,5,1
7,1,Emerson Fittipaldi,McLaren-Ford,69,+ 1 Lap,8,
8,8,Carlos Pace,Brabham-Ford,69,+ 1 Lap,2,
9,14,Bob Evans,BRM ,68,+ 2 Laps,20,
10,18,John Watson,Surtees-Ford,68,+ 2 Laps,18,
11,28,Mark Donohue,Penske-Ford,67,+ 3 Laps,21,
12,30,Wilson Fittipaldi,Fittipaldi-Ford,67,+ 3 Laps,24,
Ret,22,Francois  Migault,Hill-Ford,57,Suspension,22,
Ret,9,Vittorio Brambilla,March-Ford,54,Brakes,3,
Ret,6,Jacky Ickx,Lotus-Ford,52,Brakes,16,
Ret,5,Ronnie Peterson,Lotus-Ford,36,Brakes,14,
Ret,21,Jacques Laffite,Williams-Ford,18,Gearbox,23,
Ret,10,Lella Lombardi,March-Ford,18,Engine,17,
Ret,23,Tony Brise,Hill-Ford,17,Engine,7,
Ret,24,James Hunt,Hesketh-Ford,15,Transmission,11,
Ret,17,Jean Pierre Jarier,Shadow-Ford,13,Spun off,10,
Ret,20,Arturo Merzario,Williams-Ford,2,Clutch,19,
Ret,26,Alan  Jones,Hesketh-Ford,1,Accident,13,
Ret,2,Jochen Mass,McLaren-Ford,0,Accident,15,
