Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,5,Michael Schumacher,Ferrari,56,1:37:32.747,6,10
2,1,Fernando Alonso,Renault,56,+3.1 secs,1,8
3,2,Giancarlo Fisichella,Renault,56,+44.1 secs,2,6
4,12,Jenson Button,Honda,56,+72.0 secs,4,5
5,4,Pedro de la Rosa,McLaren-Mercedes,56,+77.1 secs,7,4
6,11,Rubens Barrichello,Honda,56,+79.1 secs,3,3
7,16,Nick Heidfeld,Sauber-BMW,56,+91.9 secs,8,2
8,9,Mark Webber,Williams-Cosworth,56,+103.5 secs,14,1
9,14,David Coulthard,RBR-Ferrari,56,+103.7 secs,12,
10,20,Vitantonio Liuzzi,STR-Cosworth,55,+1 Lap,13,
11,10,Nico Rosberg,Williams-Cosworth,55,+1 Lap,15,
12,15,Robert Doornbos,RBR-Ferrari,55,+1 Lap,10,
13,17,Robert Kubica,Sauber-BMW,55,+1 Lap,9,
14,21,Scott Speed,STR-Cosworth,55,+1 Lap,11,
15,19,Christijan Albers,MF1-Toyota,53,+3 Laps,22,
16,23,Sakon Yamamoto,Super Aguri-Honda,52,+4 Laps,19,
Ret,7,Ralf Schumacher,Toyota,49,Oil pressure,16,
Ret,6,Felipe Massa,Ferrari,44,Accident,20,
Ret,8,Jarno Trulli,Toyota,38,Pneumatic,17,
Ret,18,Tiago Monteiro,MF1-Toyota,37,Spin,18,
Ret,3,Kimi Räikkönen,McLaren-Mercedes,18,Throttle,5,
DSQ,22,Takuma Sato,Super Aguri-Honda,55,+1 Lap,21,
