Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,5,Michael Schumacher,Ferrari,67,1:27:51.693,2,10
2,6,Felipe Massa,Ferrari,67,+0.7 secs,3,8
3,3,Kimi Räikkönen,McLaren-Mercedes,67,+13.2 secs,1,6
4,12,Jenson Button,Honda,67,+18.8 secs,4,5
5,1,Fernando Alonso,Renault,67,+23.7 secs,7,4
6,2,Giancarlo Fisichella,Renault,67,+24.8 secs,5,3
7,8,Jarno Trulli,Toyota,67,+26.5 secs,20,2
8,15,Christian Klien,RBR-Ferrari,67,+48.1 secs,12,1
9,7,Ralf Schumacher,Toyota,67,+60.3 secs,8,
10,20,Vitantonio Liuzzi,STR-Cosworth,66,+1 Lap,16,
11,14,David Coulthard,RBR-Ferrari,66,+1 Lap,10,
12,21,Scott Speed,STR-Cosworth,66,+1 Lap,19,
DSQ,19,Christijan Albers,MF1-Toyota,66,+1 Lap,21,
DSQ,18,Tiago Monteiro,MF1-Toyota,65,+2 Laps,18,
Ret,9,Mark Webber,Williams-Cosworth,59,Water leak,11,
Ret,22,Takuma Sato,Super Aguri-Honda,38,Gearbox,17,
Ret,17,Jacques Villeneuve,Sauber-BMW,30,Accident,13,
Ret,11,Rubens Barrichello,Honda,18,Engine,6,
Ret,16,Nick Heidfeld,Sauber-BMW,9,Brakes,15,
Ret,4,Pedro de la Rosa,McLaren-Mercedes,2,Fuel pump,9,
Ret,23,Sakon Yamamoto,Super Aguri-Honda,1,Driveshaft,22,
Ret,10,Nico Rosberg,Williams-Cosworth,0,Accident,14,
