Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,Johnny Herbert,Benetton-Renault,53,1:18'27.916,8,10
2,8,Mika Hakkinen,McLaren-Mercedes,53,+17.779,7,6
3,30,Heinz-Harald Frentzen,Sauber-Ford,53,+24.321,10,4
4,7,Mark Blundell,McLaren-Mercedes,53,+28.223,9,3
5,4,Mika Salo,Tyrrell-Yamaha,52,+1 Lap,16,2
6,29,Jean-Christophe Boullion,Sauber-Ford,52,+1 Lap,14,1
7,9,Massimiliano Papis,Footwork-Hart,52,+1 Lap,15,
8,10,Taki Inoue,Footwork-Hart,52,+1 Lap,20,
9,21,Pedro Diniz,Forti-Ford,50,+3 Laps,23,
10,3,Ukyo Katayama,Tyrrell-Yamaha,47,+6 Laps,17,
Ret,27,Jean Alesi,Ferrari,45,Wheel bearing,5,
Ret,14,Rubens Barrichello,Jordan-Peugeot,43,Clutch,6,
Ret,15,Eddie Irvine,Jordan-Peugeot,40,Engine,12,
Ret,28,Gerhard Berger,Ferrari,32,Suspension,3,
Ret,24,Luca Badoer,Minardi-Ford,26,Spun off,18,
Ret,1,Michael Schumacher,Benetton-Renault,23,Collision,2,
Ret,5,Damon Hill,Williams-Renault,23,Collision,4,
Ret,26,Olivier Panis,Ligier-Mugen-Honda,20,Spun off,13,
Ret,6,David Coulthard,Williams-Renault,13,Spun off,1,
Ret,25,Martin Brundle,Ligier-Mugen-Honda,10,Puncture,11,
Ret,16,Giovanni Lavaggi,Pacific-Ilmor,6,Spun off,24,
Ret,23,Pedro Lamy,Minardi-Ford,0,Transmission,19,
Ret,17,Andrea Montermini,Pacific-Ilmor,0,Accident,21,
Ret,22,Roberto Moreno,Forti-Ford,0,Accident,22,
