Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Michael Schumacher,Benetton-Renault,71,1:38'34.154,2,10
2,6,David Coulthard,Williams-Renault,71,+8.060,3,6
3,28,Gerhard Berger,Ferrari,70,+1 Lap,5,4
4,8,Mika Hakkinen,McLaren-Mercedes,70,+1 Lap,7,3
5,27,Jean Alesi,Ferrari,70,+1 Lap,6,2
6,7,Mark Blundell,McLaren-Mercedes,70,+1 Lap,9,1
7,4,Mika Salo,Tyrrell-Yamaha,69,+2 Laps,12,
8,25,Aguri Suzuki,Ligier-Mugen-Honda,69,+2 Laps,15,
9,17,Andrea Montermini,Pacific-Ilmor,65,+6 Laps,22,
10,21,Pedro Diniz,Forti-Ford,64,+7 Laps,25,
Ret,9,Gianni Morbidelli,Footwork-Hart,62,Engine,13,
Ret,10,Taki Inoue,Footwork-Hart,48,Engine,21,
Ret,24,Luca Badoer,Minardi-Ford,47,Engine,18,
Ret,22,Roberto Moreno,Forti-Ford,47,Spun off,23,
Ret,29,Karl Wendlinger,Sauber-Ford,41,Electrical,19,
Ret,5,Damon Hill,Williams-Renault,30,Gearbox,1,
Ret,2,Johnny Herbert,Benetton-Renault,30,Collision,4,
Ret,16,Bertrand Gachot,Pacific-Ilmor,23,Gearbox,20,
Ret,14,Rubens Barrichello,Jordan-Peugeot,16,Gearbox,16,
Ret,12,Jos Verstappen,Simtek-Ford,16,Gearbox,24,
Ret,3,Ukyo Katayama,Tyrrell-Yamaha,15,Spun off,11,
Ret,15,Eddie Irvine,Jordan-Peugeot,15,Clutch,8,
Ret,11,Domenico Schiattarella,Simtek-Ford,12,Steering,26,
Ret,30,Heinz-Harald Frentzen,Sauber-Ford,10,Electrical,14,
Ret,26,Olivier Panis,Ligier-Mugen-Honda,0,Collision,10,
Ret,23,Pierluigi Martini,Minardi-Ford,0,Gearbox,17,
