Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Michael Schumacher,Benetton-Renault,44,1:36'47.375,16,10
2,5,Damon Hill,Williams-Renault,44,+19.493,8,6
3,25,Martin Brundle,Ligier-Mugen-Honda,44,+24.998,13,4
4,30,Heinz-Harald Frentzen,Sauber-Ford,44,+26.972,10,3
5,7,Mark Blundell,McLaren-Mercedes,44,+33.772,6,2
6,14,Rubens Barrichello,Jordan-Peugeot,44,+39.674,12,1
7,2,Johnny Herbert,Benetton-Renault,44,+54.043,4,
8,4,Mika Salo,Tyrrell-Yamaha,44,+54.548,11,
9,26,Olivier Panis,Ligier-Mugen-Honda,44,+1'06.170,9,
10,23,Pedro Lamy,Minardi-Ford,44,+1'19.789,17,
11,29,Jean-Christophe Boullion,Sauber-Ford,43,+1 Lap,14,
12,10,Taki Inoue,Footwork-Hart,43,+1 Lap,18,
13,21,Pedro Diniz,Forti-Ford,42,+2 Laps,24,
14,22,Roberto Moreno,Forti-Ford,42,+2 Laps,22,
Ret,3,Ukyo Katayama,Tyrrell-Yamaha,28,Spun off,15,
Ret,16,Giovanni Lavaggi,Pacific-Ilmor,27,Gearbox,23,
Ret,24,Luca Badoer,Minardi-Ford,23,Spun off,19,
Ret,28,Gerhard Berger,Ferrari,22,Electrical,1,
Ret,15,Eddie Irvine,Jordan-Peugeot,21,Fire,7,
Ret,9,Massimiliano Papis,Footwork-Hart,20,Spun off,20,
Ret,17,Andrea Montermini,Pacific-Ilmor,18,Out of fuel,21,
Ret,6,David Coulthard,Williams-Renault,13,Gearbox,5,
Ret,27,Jean Alesi,Ferrari,4,Suspension,2,
Ret,8,Mika Hakkinen,McLaren-Mercedes,1,Spun off,3,
