Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,5,Michael Schumacher,Ferrari,53,1:29'48.446,2,10
2,4,Heinz-Harald Frentzen,Williams-Renault,53,+1.378,6,6
3,6,Eddie Irvine,Ferrari,53,+26.384,3,4
4,9,Mika Hakkinen,McLaren-Mercedes,53,+27.129,4,3
5,7,Jean Alesi,Benetton-Renault,53,+40.403,7,2
6,16,Johnny Herbert,Sauber-Petronas,53,+41.630,8,1
7,12,Giancarlo Fisichella,Jordan-Peugeot,53,+56.825,9,
8,8,Gerhard Berger,Benetton-Renault,53,+1'00.429,5,
9,11,Ralf Schumacher,Jordan-Peugeot,53,+1'22.036,13,
10,10,David Coulthard,McLaren-Mercedes,52,engine,11,
11,1,Damon Hill,Arrows-Yamaha,52,+1 lap,17,
12,2,Pedro Diniz,Arrows-Yamaha,52,+1 lap,16,
13,18,Jos Verstappen,Tyrrell-Ford,52,+1 lap,21,
DSQ,3,Jacques Villeneuve,Williams-Renault,53,disqualified,1,
Ret,21,Tarso Marques,Minardi-Hart,46,gearbox,20,
Ret,19,Mika Salo,Tyrrell-Ford,46,engine,22,
Ret,14,Olivier Panis,Prost-Mugen-Honda,36,engine,10,
Ret,15,Shinji Nakano,Prost-Mugen-Honda,22,wheel bearing,10,
Ret,20,Ukyo Katayama,Minardi-Hart,8,engine,19,
Ret,22,Rubens Barrichello,Stewart-Ford,6,spun off,12,
Ret,23,Jan Magnussen,Stewart-Ford,3,spun off,14,
DNS,17,Gianni Morbidelli,Sauber-Petronas,0,accident,0,
