Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,10,David Coulthard,McLaren-Mercedes,58,1:30'28.718,4,10
2,5,Michael Schumacher,Ferrari,58,+20.046,3,6
3,9,Mika Hakkinen,McLaren-Mercedes,58,+22.177,6,4
4,8,Gerhard Berger,Benetton-Renault,58,+22.841,10,3
5,14,Olivier Panis,Prost-Mugen-Honda,58,+1'00.308,9,2
6,17,Nicola Larini,Sauber-Petronas,58,+1'36.040,13,1
7,15,Shinji Nakano,Prost-Mugen-Honda,56,+2 Laps,16,
8,4,Heinz-Harald Frentzen,Williams-Renault,55,Brakes,2,
9,14,Jarno Trulli,Minardi-Hart,55,+3 Laps,17,
10,2,Pedro Diniz,Arrows-Yamaha,54,+4 Laps,22,
Ret,22,Rubens Barrichello,Stewart-Ford,49,Engine,11,
Ret,19,Mika Salo,Tyrrell-Ford,42,Engine,18,
Ret,23,Jan Magnussen,Stewart-Ford,36,Suspension,19,
Ret,7,Jean Alesi,Benetton-Renault,34,Out of fuel,8,
Ret,20,Ukyo Katayama,Minardi-Hart,32,Electrical,15,
Ret,12,Giancarlo Fisichella,Jordan-Peugeot,14,Spun off,14,
Ret,18,Jos Verstappen,Tyrrell-Ford,2,Spun off,21,
Ret,11,Ralf Schumacher,Jordan-Peugeot,1,Gearbox,12,
Ret,3,Jacques Villeneuve,Williams-Renault,0,Collision,1,
Ret,6,Eddie Irvine,Ferrari,0,Collision,5,
Ret,16,Johnny Herbert,Sauber-Petronas,0,Collision,7,
DNS,1,Damon Hill,Arrows-Yamaha,0,Throttle,20,
