Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,5,Michael Schumacher,Ferrari,44,1:33'46.717,3,10
2,12,Giancarlo Fisichella,Jordan-Peugeot,44,+26.753,4,6
3,4,Heinz-Harald Frentzen,Williams-Renault,44,+32.147,7,4
4,16,Johnny Herbert,Sauber-Petronas,44,+39.025,11,3
5,3,Jacques Villeneuve,Williams-Renault,44,+42.103,1,2
6,8,Gerhard Berger,Benetton-Renault,44,+1'03.741,15,1
7,2,Pedro Diniz,Arrows-Yamaha,44,+1'25.931,8,
8,7,Jean Alesi,Benetton-Renault,44,+1'42.008,2,
9,17,Gianni Morbidelli,Sauber-Petronas,44,+1'42.582,13,
10,6,Eddie Irvine,Ferrari,43,+1 Lap,17,
11,19,Mika Salo,Tyrrell-Ford,43,+1 Lap,19,
12,23,Jan Magnussen,Stewart-Ford,43,+1 Lap,18,
13,1,Damon Hill,Arrows-Yamaha,42,+2 Laps,9,
14,20,Ukyo Katayama,Minardi-Hart,42,+2 Laps,20,
15,14,Jarno Trulli,Prost-Mugen-Honda,42,+2 Laps,14,
DSQ,9,Mika Hakkinen,McLaren-Mercedes,44,Disqualified,5,
Ret,18,Jos Verstappen,Tyrrell-Ford,25,Spun off,21,
Ret,11,Ralf Schumacher,Jordan-Peugeot,21,Spun off,6,
Ret,10,David Coulthard,McLaren-Mercedes,19,Spun off,10,
Ret,21,Tarso Marques,Minardi-Hart,18,Spun off,22,
Ret,22,Rubens Barrichello,Stewart-Ford,8,Steering,12,
Ret,15,Shinji Nakano,Prost-Mugen-Honda,5,Electrical,16,
