Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,15,Sebastian Vettel,STR-Ferrari,53,1:26:47.494,1,10
2,23,Heikki Kovalainen,McLaren-Mercedes,53,+12.5 secs,2,8
3,4,Robert Kubica,BMW Sauber,53,+20.4 secs,11,6
4,5,Fernando Alonso,Renault,53,+23.9 secs,8,5
5,3,Nick Heidfeld,BMW Sauber,53,+27.7 secs,10,4
6,2,Felipe Massa,Ferrari,53,+28.8 secs,6,3
7,22,Lewis Hamilton,McLaren-Mercedes,53,+29.9 secs,15,2
8,10,Mark Webber,Red Bull-Renault,53,+32.0 secs,3,1
9,1,Kimi Räikkönen,Ferrari,53,+39.4 secs,14,
10,6,Nelsinho Piquet,Renault,53,+54.4 secs,17,
11,12,Timo Glock,Toyota,53,+58.8 secs,9,
12,8,Kazuki Nakajima,Williams-Toyota,53,+62.0 secs,20,
13,11,Jarno Trulli,Toyota,53,+65.9 secs,7,
14,7,Nico Rosberg,Williams-Toyota,53,+68.6 secs,5,
15,16,Jenson Button,Honda,53,+73.3 secs,19,
16,9,David Coulthard,Red Bull-Renault,52,+1 Lap,13,
17,17,Rubens Barrichello,Honda,52,+1 Lap,16,
18,14,Sebastien Bourdais,STR-Ferrari,52,+1 Lap,4,
19,20,Adrian Sutil,Force India-Ferrari,51,+2 Laps,18,
Ret,21,Giancarlo Fisichella,Force India-Ferrari,11,Accident,12,
