Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,Felipe Massa,Ferrari,57,1:31:06.970,2,10
2,1,Kimi Räikkönen,Ferrari,57,+3.3 secs,4,8
3,4,Robert Kubica,BMW Sauber,57,+4.9 secs,1,6
4,3,Nick Heidfeld,BMW Sauber,57,+8.4 secs,6,5
5,23,Heikki Kovalainen,McLaren-Mercedes,57,+26.7 secs,5,4
6,11,Jarno Trulli,Toyota,57,+41.3 secs,7,3
7,10,Mark Webber,Red Bull-Renault,57,+45.4 secs,11,2
8,7,Nico Rosberg,Williams-Toyota,57,+55.8 secs,8,1
9,12,Timo Glock,Toyota,57,+69.5 secs,13,
10,5,Fernando Alonso,Renault,57,+77.1 secs,10,
11,17,Rubens Barrichello,Honda,57,+77.8 secs,12,
12,21,Giancarlo Fisichella,Force India-Ferrari,56,+1 Lap,18,
13,22,Lewis Hamilton,McLaren-Mercedes,56,+1 Lap,3,
14,8,Kazuki Nakajima,Williams-Toyota,56,+1 Lap,16,
15,14,Sebastien Bourdais,STR-Ferrari,56,+1 Lap,15,
16,19,Anthony Davidson,Super Aguri-Honda,56,+1 Lap,21,
17,18,Takuma Sato,Super Aguri-Honda,56,+1 Lap,22,
18,9,David Coulthard,Red Bull-Renault,56,+1 Lap,17,
19,20,Adrian Sutil,Force India-Ferrari,55,+2 Laps,20,
Ret,6,Nelsinho Piquet,Renault,40,Gearbox,14,
Ret,16,Jenson Button,Honda,19,Accident damage,9,
Ret,15,Sebastian Vettel,STR-Ferrari,0,Accident damage,19,
