Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,2,Jack Brabham,Cooper-Climax ,36,2:21.37.3,1,8
2,4,Bruce McLaren,Cooper-Climax ,36,+ 1'03.3,14,6
3,34,Olivier  Gendebien,Cooper-Climax ,35,+ 1 Lap,5,4
4,24,Phil Hill,Ferrari ,35,+ 1 Lap,4,3
5,18,Jim Clark,Lotus-Climax,34,+ 2 Laps,10,2
6,32,Lucien Bianchi,Cooper-Climax ,28,+ 8 Laps,15,1
Ret,10,Graham Hill,BRM ,35,Engine,6,
Ret,16,Alan  Stacey ,Lotus-Climax,24,Accident,17,
Ret,22,Willy Mairesse,Ferrari ,23,Transmission,13,
Ret,26,Wolfgang von Trips,Ferrari ,22,Transmission,11,
Ret,36,Chris  Bristow ,Cooper-Climax ,19,Accident,9,
Ret,30,Chuck  Daigh ,Scarab  ,16,Engine,18,
Ret,6,Jo Bonnier,BRM ,14,Engine,7,
Ret,14,Innes Ireland,Lotus-Climax,13,Accident,8,
Ret,8,Dan Gurney,BRM ,4,Engine,12,
Ret,38,Tony Brooks,Cooper-Climax ,2,Gearbox,2,
Ret,28,Lance  Reventlow ,Scarab  ,1,Engine,16,
Ret,12,Stirling Moss,Lotus-Climax,0,Accident,3,
Ret,20,Mike  Taylor ,Lotus-Climax,0,Accident,19,
