Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Jimmy Bryan,Epperly- Offenhauser ,200,3:44'13.80,7,8
2,99,George  Amick,Epperly- Offenhauser ,200,+ 27.63,25,6
3,9,Johnny  Boyd,Kurtis Kraft-Offenhauser,200,+ 1'09.67,8,4
4,33,Tony  Bettenhausen,Epperly- Offenhauser ,200,+ 1'34.81,9,3
5,2,Jim Rathmann,Epperly- Offenhauser ,200,+ 1'35.62,20,2
6,16,Jimmy Reece,Watson-Offenhauser,200,+ 2'16.95,3,
7,26,Don  Freeland,Phillips-Offenhauser,200,+ 2'21.06,13,
8,44,Jud  Larson,Watson-Offenhauser,200,+ 5'34.02,19,
9,61,Eddie Johnson,Kurtis Kraft-Offenhauser,200,+ 6'15.76,26,
10,54,Bill  Cheesbourg,Kurtis Kraft-Novi,200,+ 8'03.59,33,
11,52,Al  Keller,Kurtis Kraft-Offenhauser,200,+ 9'14.20,21,
12,45,Johnnie  Parsons,Kurtis Kraft-Offenhauser,200,+ 9'40.85,6,
13,19,Johnnie  Tolan,Kuzma-Offenhauser,200,+ 9'52.24,3,
Ret,65,Bob  Christie,Kurtis Kraft-Offenhauser,189,Spun off,17,
Ret,59,Dempsey  Wilson,Kuzma-Offenhauser,151,Fire,32,
Ret,29,A J  Foyt,Kuzma-Offenhauser,148,Spun off,12,
DSQ,77,Mike  Magill,Kurtis Kraft-Offenhauser,136,Disqualified,31,
Ret,15,Paul Russo,Kurtis Kraft-Novi,122,Throttle,14,
Ret,83,Shorty  Templeman,Kurtis Kraft-Offenhauser,116,Brakes,23,
Ret,8,Rodger Ward,Lesovsky-Offenhauser,93,Magneto,11,
Ret,43,Billy  Garrett,Kurtis Kraft-Offenhauser,80,Magneto,15,
Ret,88,Eddie  Sachs,Kuzma-Offenhauser,68,Transmission,18,
Ret,7,Johnny Thomson,Kurtis Kraft-Offenhauser,52,Steering,22,
Ret,89,Chuck  Weyant,Dunn-Offenhauser,38,Accident,29,
Ret,25,Jack  Turner,Lesovsky-Offenhauser,21,Fuel pump,10,
Ret,14,Bob  Veith,Kurtis Kraft-Offenhauser,1,Accident,4,
Ret,97,Dick Rathmann,Watson-Offenhauser,0,Accident,1,
Ret,5,Ed  Elisian,Watson-Offenhauser,0,Accident,3,
Ret,4,Pat  O'Connor,Kurtis Kraft-Offenhauser,0,Accident,5,
Ret,31,Paul Goldsmith,Kurtis Kraft-Offenhauser,0,Accident,16,
Ret,92,Jerry  Unser,Kurtis Kraft-Offenhauser,0,Accident,21,
Ret,68,Len  Sutton,Kurtis Kraft-Offenhauser,0,Accident,27,
Ret,57,Art  Bisch,Kuzma-Offenhauser,0,Accident,28,
