Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,8,Tony Brooks,Vanwall,15,2:21'15.0,2,8
2,10,Roy Salvadori,Cooper-Climax ,15,+ 3'29.7,6,6
3,11,Maurice  Trintignant,Cooper-Climax ,15,+ 5'11.2,7,4
4,4,Wolfgang von Trips,Ferrari,15,+ 6'16.3,5,3
5,20,Bruce McLaren,Cooper-Climax F2,15,+ 6'26.3,12,
6,21,Edgar Barth,Porsche F2,15,+ 6'32.4,13,
7,26,Ian Burgess ,Cooper-Climax F2,15,+ 6'59.3,11,
8,30,Tony  Marsh ,Cooper-Climax F2,15,+ 7'09.9,14,
9,23,Phil Hill,Ferrari F2,15,+ 7'45.5,10,
10,12,Cliff Allison,Lotus-Climax,13,+ 2 Laps,24,
11,28,Ivor  Bueb ,Lotus-Climax F2,13,+ 2 Laps,16,
Ret,3,Mike Hawthorn,Ferrari,11,Clutch,1,
Ret,2,Peter Collins,Ferrari,10,Accident,4,
Ret,6,Harry Schell,BRM ,9,Brakes,8,
Ret,22,Wolfgang Seidel,Cooper-Climax ,9,Suspension,17,
Ret,5,Jean Behra,BRM ,4,Suspension,9,
Ret,25,Graham Hill,Lotus-Climax F2,4,Oil pipe,22,
Ret,27,Christian  Goethals ,Cooper-Climax F2,4,Fuel pump,23,
Ret,7,Stirling Moss,Vanwall,3,Magneto,3,
Ret,18,Carel Godin de Beaufort ,Porsche F2,3,Engine,15,
Ret,17,Hans  Herrmann,Maserati ,3,Engine,20,
Ret,19,Dick   Gibson,Cooper-Climax F2,2,Engine,18,
Ret,24,Jack Brabham,Cooper-Climax F2,1,Collision,19,
Ret,29,Brian  Naylor ,Cooper-Climax F2,1,Fuel pump,25,
Ret,16,Jo Bonnier,Maserati ,1,Accident,21,
