Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,4,Tony Brooks,Vanwall,24,1:37'06.3,5,8
2,16,Mike Hawthorn,Ferrari,24,+ 20.7,1,6
3,6,Stuart  Lewis-Evans ,Vanwall,24,+ 3'00.9,11,4
4,40,Cliff Allison,Lotus-Climax,24,+ 4'15.5,12,3
5,10,Harry Schell,BRM ,23,+ 1 Lap,7,2
6,20,Olivier  Gendebien,Ferrari,23,+ 1 Lap,6,
7,28,Maurice  Trintignant,Maserati ,23,+ 1 Lap,16,
8,24,Roy Salvadori,Cooper-Climax ,23,+ 1 Lap,13,
9,36,Jo Bonnier,Maserati ,22,+ 2 Laps,14,
10,26,Maria Teresa de Filippis ,Maserati ,22,+ 2 Laps,19,
Ret,38,Paco  Godia,Maserati ,22,Engine,18,
Ret,22,Jack Brabham,Cooper-Climax ,16,Overheating,8,
Ret,42,Graham Hill,Lotus-Climax,12,Engine,15,
Ret,18,Luigi Musso,Ferrari,5,Accident,2,
Ret,14,Peter Collins,Ferrari,5,Overheating,4,
Ret,8,Jean Behra,BRM ,5,Oil pressure,10,
Ret,32,Wolfgang Seidel,Maserati ,4,Halfshaft,17,
Ret,2,Stirling Moss,Vanwall,0,Engine,9,
Ret,30,Masten Gregory,Maserati ,0,Engine,3,
