Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,5,Nelson Piquet,Brabham-Ford,60,1:38'07.52,5,9
2,27,Alan  Jones,Williams-Ford,60,+ 28.93,6,6
3,28,Carlos Reutemann,Williams-Ford,60,+ 1'13.67,3,4
4,12,Elio de Angelis,Lotus-Ford,59,+ 1 Lap,18,3
5,21,Keke Rosberg,Fittipaldi-Ford,59,+ 1 Lap,11,2
6,25,Didier Pironi,Ligier-Ford,59,+ 1 Lap,13,1
7,8,Alain Prost,McLaren-Ford,59,+ 1 Lap,24,
8,1,Jody Scheckter,Ferrari,59,+ 1 Lap,16,
9,26,Jacques Laffite,Ligier-Ford,59,+ 1 Lap,20,
10,16,Rene Arnoux,Renault ,58,+ 2 Laps,1,
11,50,Rupert Keegan,Williams-Ford,58,+ 2 Laps,21,
12,31,Eddie  Cheever,Osella-Ford ,57,+ 3 Laps,17,
13,3,Jean Pierre Jarier,Tyrrell-Ford,54,Brakes,12,
Ret,15,Jean Pierre Jabouille,Renault ,53,Gear Box,2,
Ret,9,Marc Surer,ATS-Ford,45,Engine,23,
Ret,11,Mario Andretti,Lotus-Ford,40,Engine,10,
Ret,29,Riccardo Patrese,Arrows-Ford,38,Engine,7,
Ret,4,Derek Daly,Tyrrell-Ford,33,Accident,22,
Ret,7,John Watson,McLaren-Ford,20,Wheel Bearing,14,
Ret,6,Hector Rebaque,Brabham-Ford,18,Suspension,9,
Ret,20,Emerson Fittipaldi,Fittipaldi-Ford,17,Accident,15,
Ret,2,Gilles Villeneuve,Ferrari,5,Puncture,8,
Ret,23,Bruno Giacomelli,Alfa Romeo,5,Puncture,4,
Ret,22,Vittorio Brambilla,Alfa Romeo,4,Spun Off,19,
DNQ,43,Nigel Mansell,Lotus-Ford,,,,
DNQ,30,Manfred Winkelhock,Arrows-Ford,,,,
DNQ,14,Jan Lammers,Ensign-Ford,,,,
DNQ,41,Geoff Lees,Ensign-Ford,,,,
