Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,15,Jean Pierre Jabouille,Renault ,54,1:26'15.73,2,9
2,27,Alan  Jones,Williams-Ford,54,+ 0.82,3,6
3,28,Carlos Reutemann,Williams-Ford,54,+ 19.36,4,4
4,26,Jacques Laffite,Ligier-Ford,54,+ 42.02,5,3
5,5,Nelson Piquet,Brabham-Ford,54,+ 1'02.81,7,2
6,12,Elio de Angelis,Lotus-Ford,54,+ 1'14.97,9,1
7,8,Alain Prost,McLaren-Ford,54,+ 1'33.41,12,
8,2,Gilles Villeneuve,Ferrari,53,+ 1 Lap,15,
9,16,Rene Arnoux,Renault ,53,+ 1 Lap,1,
10,6,Hector Rebaque,Brabham-Ford,53,+ 1 Lap,14,
11,20,Emerson Fittipaldi,Fittipaldi-Ford,53,+ 1 Lap,23,
12,9,Marc Surer,ATS-Ford,53,+ 1 Lap,16,
13,1,Jody Scheckter,Ferrari,53,+ 1 Lap,22,
14,29,Riccardo Patrese,Arrows-Ford,53,+ 1 Lap,18,
15,50,Rupert Keegan,Williams-Ford,52,+ 2 Laps,20,
16,21,Keke Rosberg,Fittipaldi-Ford,52,+ 2 Laps,11,
Ret,43,Nigel Mansell,Lotus-Ford,40,Engine,24,
Ret,7,John Watson,McLaren-Ford,34,Engine,21,
Ret,23,Bruno Giacomelli,Alfa Romeo,28,Wheel,8,
Ret,25,Didier Pironi,Ligier-Ford,25,Handling,13,
Ret,3,Jean Pierre Jarier,Tyrrell-Ford,25,Electrical,6,
Ret,31,Eddie  Cheever,Osella-Ford ,23,Wheel Bearing,19,
Ret,4,Derek Daly,Tyrrell-Ford,12,Brakes,10,
Ret,11,Mario Andretti,Lotus-Ford,6,Engine,17,
DNQ,14,Jan Lammers,Ensign-Ford,,,,
DNQ,30,Jochen Mass,Arrows-Ford,,,,
