Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,16,Rene Arnoux,Renault ,40,1:40'01.33,6,9
2,12,Elio de Angelis,Lotus-Ford,40,+ 21.86,7,6
3,27,Alan  Jones,Williams-Ford,40,+ 1'06.11,10,4
4,25,Didier Pironi,Ligier-Ford,40,+ 1'40.13,2,3
5,8,Alain Prost,McLaren-Ford,40,+ 2'25.41,13,2
6,29,Riccardo Patrese,Arrows-Ford,39,+ 1 Lap,14,1
7,9,Marc Surer,ATS-Ford,39,+ 1 Lap,20,
8,6,Ricardo Zunino,Brabham-Ford,39,+ 1 Lap,18,
9,21,Keke Rosberg,Fittipaldi-Ford,39,+ 1 Lap,15,
10,30,Jochen Mass,Arrows-Ford,39,+ 1 Lap,16,
11,7,John Watson,McLaren-Ford,39,+ 1 Lap,23,
12,3,Jean Pierre Jarier,Tyrrell-Ford,39,+ 1 Lap,22,
13,23,Bruno Giacomelli,Alfa Romeo,39,+ 1 Lap,17,
14,4,Derek Daly,Tyrrell-Ford,38,+ 2 Laps,24,
15,20,Emerson Fittipaldi,Fittipaldi-Ford,38,+ 2 Laps,19,
16,2,Gilles Villeneuve,Ferrari,36,Throttle,3,
Ret,22,Patrick Depailler,Alfa Romeo,33,Electrical,21,
Ret,15,Jean Pierre Jabouille,Renault ,25,Turbo,1,
Ret,5,Nelson Piquet,Brabham-Ford,14,Suspension,9,
Ret,26,Jacques Laffite,Ligier-Ford,13,Electrical,5,
Ret,14,Clay Regazzoni,Ensign-Ford,13,Engine,12,
Ret,1,Jody Scheckter,Ferrari,10,Engine,8,
Ret,11,Mario Andretti,Lotus-Ford,1,Spun Off,4,
Ret,28,Carlos Reutemann,Williams-Ford,1,Halfshaft,11,
DNQ,10,Jan Lammers,ATS-Ford,,,,
DNQ,18,Dave Kennedy,Shadow-Ford,,,,
DNQ,17,Stefan Johansson,Shadow-Ford,,,,
DNQ,31,Eddie  Cheever,Osella-Ford ,,,,
