Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,20,Jackie Stewart,Matra-Ford,68,1:39'11.26,3,9
2,4,Jochen Rindt,Lotus-Ford,68,+ 0.08,1,6
3,22,Jean Pierre  Beltoise,Matra-Ford,68,+ 0.17,6,4
4,18,Bruce McLaren,McLaren-Ford,68,+ 0.19,5,3
5,32,Piers   Courage,Brabham-Ford,68,+ 33.44,4,2
6,10,Pedro Rodriguez,Ferrari,66,+ 2 Laps,12,1
7,16,Denny Hulme,McLaren-Ford,66,+ 2 Laps,2,
8,30,Jo Siffert,Lotus-Ford,64,Engine,8,
9,2,Graham Hill,Lotus-Ford,63,Halfshaft,9,
10,26,Jacky Ickx,Brabham-Ford,61,Out of fuel,15,
NC,14,John Surtees,BRM ,60,+ 8 Laps,10,
Ret,12,Jackie Oliver,BRM ,48,Oil pressure,11,
Ret,36,Silvio  Moser ,Brabham-Ford,9,Fuel leak,13,
Ret,28,Jack Brabham,Brabham-Ford,6,Oil leak,7,
Ret,6,John   Miles,Lotus-Ford,3,Engine,14,
